ts	rts	run	int	data	Dgen	Darr	buf tar	buf est	buf play	rtt est	rtt prime	lambda d	lambda	rtx	recover	resc	lat est	rtt var
1458514310257	13	0	334	334	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0
1458514310277	33	0	337	335	9.0	0.0	0	15.0	0.0	4.0	0.0	0	3.0	0	0	0	0	0.0
1458514310298	54	0	338	336	12.0	10.0	0	50.0	10.0	4.0	0.0	0	2.0	0	0	0	0	0.0
1458514310318	74	0	339	337	25.5	20.5	0	70.5	30.5	3.833335	0.0	0	1.0	0	0	0	0	0.3535535
1458514310337	93	0	340	338	46.0	20.5	0	90.5	50.5	3.583335	0.0	0	1.0	0	0	0	0	0.700498
1458514310358	114	0	341	339	56.0	19.5	0	110.0	70.0	3.45	0.0	0	1.0	0	0	0	0	0.6723715
1458514310378	134	0	342	340	55.5	20.0	0	130.0	90.0	3.45	0.0	0	1.0	0	0	0	0	0.64593
1458514310397	153	0	343	341	55.0	20.5	0	150.5	110.5	3.535715	22.21755	0	1.0	0	0	0	0	0.6303715
1458514310417	173	0	344	342	55.5	19.5	0	170.5	130.5	3.535715	47.72105	0	1.0	0	0	0	0	0.616403
1458514310438	194	0	345	343	55.0	19.5	0	190.0	150.0	3.47222	53.7327	0	1.0	0	0	0	0	0.6065855
1458514310457	213	0	346	344	55.0	20.0	0	210.0	170.0	3.42222	57.83715	0	1.0	0	0	0	0	0.592479
1458514310478	234	0	347	345	56.5	20.0	0	230.0	190.0	3.38182	59.23325	0	1.0	0	0	0	0	0.5769675
1458514310498	254	0	348	346	57.0	20.5	0	250.0	210.0	3.348485	59.3228	0	1.0	0	0	0	0	0.5613205
1458514310518	274	0	349	347	57.0	20.5	0	270.5	230.5	3.32051	59.43735	0	1.0	0	0	0	0	0.5461105
1458514310538	294	0	350	348	56.5	20.0	0	290.5	250.5	3.2967	59.53315	0	1.0	0	0	0	0	0.5315875
1458514310557	313	0	351	349	55.5	20.0	0	310.0	270.0	3.30952	59.59625	0	1.0	0	0	0	0	0.532401
1458514310578	334	0	352	350	54.5	19.5	0	330.0	290.0	3.354165	59.62295	0	1.0	0	0	0	0	0.544951
1458514310598	354	0	353	351	54.5	20.0	0	350.0	310.0	3.39338	59.6958	0	1.0	0	0	0	0	0.552122
1458514310619	375	0	354	352	55.5	20.5	0	370.5	330.5	3.4281	59.74025	0	1.0	0	0	0	0	0.5556445
1458514310637	393	0	355	353	56.5	20.5	0	391.0	351.0	3.432745	59.7385	0	1.0	0	0	0	0	0.553844
