unix_ts_ms	rts_ms	run	int_seq	relative_int_seq	data_seq	relative_data_seq	Dgen_ms	Darr_ms	buf_tar_ms	buf_est_ms	buf_play_ms	rtt_prime_ms	lambda_d	lambda	rtx_total	recovered_total	rescued_total	lat_est_sec
1458520956353	0	0	0	0	8124	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
1458520956354	1	0	8125	1	8124	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0
1458520956455	102	0	8125	1	8125	1	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0
1458520956456	103	0	8125	1	8125	1	94.0	0.0	0	20.0	0.0	101.166	3.0	0	0	0	0	0
1458520956457	104	0	8127	3	8125	1	94.0	0.0	0	40.0	0.0	101.166	3.0	0	0	0	0	0
1458520956559	206	0	8128	4	8126	2	94.0	0.0	0	40.0	0.0	101.166	3.0	0	0	0	0	0
1458520956560	207	0	8128	4	8127	3	93.0	104.0	0	60.0	20.0	103.852	3.0	0	0	0	0	0
1458520956561	208	0	8129	5	8128	4	94.0	0.0	0	100.0	60.0	104.211	3.0	0	0	0	0	0
1458520956662	309	0	8131	7	8129	5	94.0	0.0	0	100.0	60.0	104.211	3.0	0	0	0	0	0
1458520956663	310	0	8131	7	8130	6	95.0	102.0	0	120.0	80.0	102.295	3.0	0	0	0	0	0
1458520956664	311	0	8131	7	8131	7	93.0	1.0	0	141.0	120.0	102.554	3.0	0	0	0	0	0
1458520956765	412	0	8134	10	8132	8	93.0	0.0	0	160.0	120.0	102.805	3.0	0	0	0	0	0
1458520956766	413	0	8134	10	8133	9	93.0	102.0	0	180.0	140.0	102.854	3.0	0	0	0	0	0
1458520956767	414	0	8135	11	8134	10	95.0	0.0	0	221.0	181.0	102.553	3.0	0	0	0	0	0
1458520956869	516	0	8137	13	8135	11	95.0	0.0	0	221.0	181.0	102.553	3.0	0	0	0	0	0
1458520956870	517	0	8137	13	8136	12	93.0	103.0	0	240.0	200.0	103.684	3.0	0	0	0	0	0
1458520956871	518	0	8137	13	8137	13	94.0	0.0	0	280.0	240.0	103.714	3.0	0	0	0	0	0
1458520956972	619	0	8140	16	8138	14	94.0	0.0	0	280.0	240.0	103.714	3.0	0	0	0	0	0
1458520956973	620	0	8140	16	8138	14	94.0	0.0	0	280.0	260.0	103.714	3.0	0	0	0	0	0
1458520956974	621	0	8140	16	8140	16	90.0	0.0	0	320.0	280.0	103.02	3.0	0	0	0	0	0
1458520957075	722	0	8143	19	8141	17	91.0	1.0	0	340.0	300.0	103.087	3.0	0	0	0	0	0
1458520957076	723	0	8143	19	8142	18	91.0	101.0	0	360.0	320.0	101.944	3.0	0	0	0	0	0
