unix_ts_ms	rts_ms	run	int_seq	relative_int_seq	data_seq	relative_data_seq	Dgen_ms	Darr_ms	buf_tar_ms	buf_est_ms	buf_play_ms	rtt_prime_ms	lambda_d	lambda	rtx_total	recovered_total	rescued_total	lat_est_sec
1458579646522	0	0	0	0	14790	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
1458579646624	102	0	14791	1	14791	1	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0
1458579646625	103	0	14792	2	14791	1	154.0	0.0	0	80.0	0.0	101.613	3.0	0	0	0	0	0
1458579646727	205	0	14794	4	14792	2	154.0	0.0	0	80.0	0.0	101.613	3.0	0	0	0	0	0
1458579646728	206	0	14794	4	14793	3	154.0	103.0	0	122.0	80.0	102.792	3.0	0	0	0	0	0
1458579646830	308	0	14797	7	14795	5	154.0	0.0	0	202.0	120.0	103.427	3.0	0	0	0	0	0
1458579646831	309	0	14797	7	14796	6	153.0	102.0	0	242.0	200.0	102.799	3.0	0	0	0	0	0
1458579646832	310	0	14800	10	14797	7	153.0	0.0	0	322.0	240.0	103.174	3.0	0	0	0	0	0
1458579646932	410	0	14800	10	14798	8	153.0	0.0	0	322.0	240.0	103.174	3.0	0	0	0	0	0
1458579646933	411	0	14800	10	14798	8	155.0	0.0	0	322.0	280.0	103.174	3.0	0	0	0	0	0
1458579646934	412	0	14801	11	14799	9	154.0	0.0	0	402.0	320.0	102.252	3.0	0	0	0	0	0
1458579647035	513	0	14803	13	14801	11	154.0	1.0	0	442.0	360.0	102.307	3.0	0	0	0	0	0
1458579647036	514	0	14803	13	14802	12	152.0	101.0	0	482.0	400.0	102.289	3.0	0	0	0	0	0
1458579647037	515	0	14803	13	14803	13	153.0	1.0	0	522.0	480.0	102.193	3.0	0	0	0	0	0
1458579647138	616	0	14806	16	14804	14	153.0	1.0	0	562.0	480.0	102.193	3.0	0	0	0	0	0
1458579647139	617	0	14806	16	14804	14	153.0	1.0	0	562.0	520.0	102.193	3.0	0	0	0	0	0
1458579647140	618	0	14806	16	14805	15	154.0	102.0	0	602.0	560.0	102.971	3.0	0	0	0	0	0
1458579647141	619	0	14807	17	14806	16	153.0	0.0	0	680.0	600.0	103.481	3.0	0	0	0	0	0
1458579647243	721	0	14809	19	14807	17	153.0	0.0	0	680.0	600.0	103.481	3.0	0	0	0	0	0
1458579647244	722	0	14809	19	14808	18	154.0	102.0	0	720.0	640.0	103.804	3.0	0	0	0	0	0
1458579647258	736	0	14811	21	14809	19	152.0	1.0	0	760.0	680.0	103.655	3.0	0	0	0	0	0
1458579647259	737	0	14812	22	14809	19	153.0	14.0	0	800.0	720.0	117.029	3.0	0	0	0	0	0
1458579647347	825	0	14812	22	14810	20	153.0	14.0	0	800.0	720.0	117.029	3.0	0	0	0	0	0
1458579647348	826	0	14812	22	14811	21	152.0	89.0	0	840.0	760.0	103.286	3.0	0	0	0	0	0
1458579647377	855	0	14814	24	14812	22	154.0	1.0	0	880.0	800.0	103.497	3.0	0	0	0	0	0
1458579647380	858	0	14814	24	14812	22	152.0	29.0	0	880.0	840.0	118.744	3.0	0	0	0	0	0.89528
1458579647381	859	0	14814	24	14812	22	152.0	29.0	0	880.0	800.0	118.744	3.0	0	0	0	0	0.89528
1458579647382	860	0	14815	25	14812	22	152.0	29.0	0	880.0	720.0	118.744	3.0	0	0	0	0	0.81691
1458579647383	861	0	14815	25	14812	22	152.0	29.0	0	880.0	640.0	118.744	3.0	0	0	0	0	0.73791
1458579647384	862	0	14815	25	14812	22	152.0	29.0	0	880.0	560.0	118.744	3.0	0	0	0	0	0.65878
1458579647385	863	0	14815	25	14812	22	152.0	29.0	0	880.0	480.0	118.744	3.0	0	0	0	0	0.57988
1458579647386	864	0	14815	25	14812	22	152.0	29.0	0	880.0	360.0	118.744	3.0	0	0	0	0	0.46104
1458579647401	879	0	14815	25	14812	22	152.0	29.0	0	880.0	280.0	118.744	3.0	0	0	0	0	0.38195
