ts	run	int	data	Dgen	Darr	buf tar	buf est	buf play	rtt est	rtt prime	lambda d	lambda	rtx	recover	resc	lat est	rtt var
1458507688963	0	573	571	0.0	0.0	0	15.0	0.0	4.0	0.0	0	3.0	0	0	0	0	0.0
1458507689103	0	574	573	6.0	12.5	0	37.5	10.0	6.0	0.0	0	2.0	0	0	0	0	4.0
1458507689114	0	576	575	36.6666666667	58.0	0	80.0	26.6666666667	35.9722333333	0.0	0	1.0	0	0	0	0	50.2519666667
1458507689125	0	580	579	9.4	3.6	0	140.0	80.0	42.45714	20.5388	0	1.0	0	0	0	0	61.15356
1458507689136	0	581	580	0.0	3.0	0	190.0	130.0	29.7361	49.9188	0	1.0	0	0	0	0	53.22855
1458507689268	0	582	582	5.0	7.5	0	210.0	150.0	27.0111	37.9105	0	1.0	0	0	0	0	50.7643
1458507689281	0	585	585	2.5	37.75	0	250.0	175.0	31.053725	24.993975	0	1.0	0	0	0	0	54.29395
1458507689295	0	588	588	0.0	4.25	0	310.0	236.0	27.731425	23.780025	0	1.0	0	0	0	0	51.856075
1458507689803	0	589	588	0.5	5.0	0	350.0	273.333333333	24.68565	22.90795	0	1.0	0	0	0	0	49.06255
1458507689803	0	589	588	1.0	6.0	0	360.0	280.0	24.0588	22.212	0	1.0	0	0	0	0	48.4204
1458507689815	1	614	614	0	0	300.0	0.0	0.0	0	0	0	0	0	0	0	0	0
1458507689839	1	617	615	3.0	0.0	300.0	15.0	0.0	4.0	4.52714	0	3.0	0	0	0	0	0.0
1458507689858	1	618	616	9.0	11.5	300.0	50.0	10.0	4.75	5.863715	0	2.0	0	0	0	0	1.5
1458507689883	1	619	617	25.0	21.0	300.0	70.0	30.0	5.583335	9.906595	0	1.0	0	0	0	0	2.57529
1458507689896	1	620	618	45.0	22.5	300.0	90.0	50.0	6.458335	17.1354	0	1.0	0	0	0	0	3.10345
1458507689915	1	621	619	53.5	19.0	300.0	110.0	70.0	6.925	25.42365	0	1.0	0	0	0	0	3.96342
1458507689935	1	622	620	52.5	16.0	300.0	130.0	90.0	6.383335	33.02065	0	1.0	0	0	0	0	3.761235
1458507689957	1	623	621	50.0	20.0	300.0	149.5	109.5	6.011905	40.13225	0	1.0	0	0	0	0	3.55053
1458507689975	1	624	622	51.0	20.5	300.0	169.5	129.5	5.80357	47.19635	0	1.0	0	0	0	0	3.32938
1458507689996	1	625	623	55.5	20.0	300.0	190.0	150.0	5.59722	53.6226	0	1.0	0	0	0	0	3.18275
1458507690015	1	626	624	56.0	20.0	300.0	210.0	170.0	5.37222	57.6215	0	1.0	0	0	0	0	3.08496
1458507690035	1	627	625	52.0	20.0	300.0	230.0	190.0	5.513635	58.3495	0	1.0	0	0	0	0	3.118335
1458507690056	1	628	626	50.5	19.5	300.0	250.0	210.0	5.738635	57.9249	0	1.0	0	0	0	0	3.148165
1458507690076	1	629	627	54.0	20.5	300.0	270.0	230.0	5.68269	58.2859	0	1.0	0	0	0	0	3.029825
1458507690096	1	630	628	55.5	20.5	300.0	290.0	250.0	5.55769	59.1014	0	1.0	0	0	0	0	2.944735
1458507690126	1	631	629	55.5	19.5	300.0	310.0	270.0	5.45	59.6963	0	1.0	0	0	0	0	2.86503
1458507690139	1	632	630	53.0	24.5	300.0	330.0	290.0	5.79375	60.35625	0	1.0	0	0	0	0	3.536965
1458507690156	1	633	631	51.5	21.5	300.0	350.0	310.0	6.29963	61.21715	0	1.0	0	0	0	0	4.234485
1458507690176	1	634	632	52.0	15.0	300.0	370.0	330.0	6.4281	61.46215	0	1.0	0	0	0	0	4.15977
1458507690195	1	635	633	47.5	18.5	300.0	390.0	350.0	6.40643	60.7953	0	1.0	0	0	0	0	4.04752
1458507690215	1	636	634	44.5	19.5	300.0	410.0	370.0	6.43421	59.73415	0	1.0	0	0	0	0	3.96703
1458507690269	1	636	634	48.0	19.5	300.0	420.0	393.333333333	6.535715	59.30335	0	1.0	0	0	0	0	3.89448
1458507690282	1	639	637	53.3333333333	25.3333333333	300.0	435.0	395.0	7.69772333333	62.67461	0	1.0	0	0	0	0.299711666667	6.57697333333
1458507690295	1	640	638	27.5	5.5	300.0	420.5	340.75	8.57337	61.162	0	1.0	0	0	0	0.24942	7.977945
1458507690311	1	641	638	7.5	12.0	300.0	380.5	340.333333333	8.6125	54.935925	0	1.0	0	0	0	0.24734	7.81523
1458507690330	1	642	639	23.5	17.0	300.0	380.0	340.0	8.646155	51.963855	0	1.0	0	0	0	0.24765	7.66209
1458507690353	1	643	640	40.5	20.0	300.0	380.0	340.0	8.605415	51.4125	0	1.0	0	0	0	0.247695	7.54619
1458507690370	1	644	641	52.5	20.0	300.0	380.0	340.0	8.419975	51.345215	0	1.0	0	0	0	0.24834	7.468815
1458507690392	1	645	642	55.5	20.0	300.0	380.0	340.0	8.24692	48.99743	0	1.0	0	0	0	0.248395	7.39258
1458507690411	1	646	643	55.0	21.0	300.0	380.0	340.0	8.136205	45.55493	0	1.0	0	0	0	0.248235	7.290065
1458507690432	1	647	644	55.5	20.5	300.0	380.0	340.0	8.03387	48.07493	0	1.0	0	0	0	0.2484	7.19066
1458507690453	1	648	645	55.0	19.0	300.0	380.0	340.0	7.92137	54.15436	0	1.0	0	0	0	0.248255	7.101485
1458507690472	1	649	646	54.0	20.5	300.0	380.5	340.5	7.83144	57.82893	0	1.0	0	0	0	0.249235	7.007185
1458507690493	1	650	647	54.0	20.5	300.0	380.5	340.5	7.74688	59.381	0	1.0	0	0	0	0.24961	6.91637
1458507690512	1	651	648	54.5	19.0	300.0	380.0	340.0	7.65294	59.802645	0	1.0	0	0	0	0.2498	6.83579
1458507690532	1	652	649	54.5	19.5	300.0	380.0	340.0	7.56389	59.753715	0	1.0	0	0	0	0.249865	6.758045
1458507690551	1	653	650	54.0	20.0	300.0	380.0	340.0	7.49362	59.604925	0	1.0	0	0	0	0.249575	6.676045
1458507690572	1	654	651	54.0	20.0	300.0	380.0	340.0	7.4271	59.406425	0	1.0	0	0	0	0.248875	6.596865
1458507690593	1	655	652	54.0	20.0	300.0	380.5	340.5	7.364035	59.2885	0	1.0	0	0	0	0.248925	6.52035
1458507690612	1	656	653	54.0	19.5	300.0	380.5	340.5	7.291665	59.23336	0	1.0	0	0	0	0.250055	6.452025
1458507690631	1	657	654	54.0	19.5	300.0	380.0	340.0	7.210365	59.163215	0	1.0	0	0	0	0.249875	6.39132
