ts	rts	run	int	data	Dgen	Darr	buf tar	buf est	buf play	rtt est	rtt prime	lambda d	lambda	rtx	recover	resc	lat est	rtt var
1458514323190	26	0	966	962	50.0	0.0	0	33.3333333333	0.0	0	0.0	0	5.0	0	0	0	0	0
1458514323209	45	0	967	963	50.5	10.0	0	66.6666666667	10.0	0	0.0	0	3.0	0	0	0	0	0
1458514323230	66	0	968	964	51.5	19.5	0	110.0	30.0	0	0.0	0	1.0	0	0	0	0	0
1458514323251	87	0	969	965	52.5	20.0	0	130.0	50.0	5.0	0.0	0	1.0	0	0	0	0	0.0
1458514323271	107	0	970	966	62.5	21.0	0	150.0	70.0	5.5	0.0	0	1.0	0	0	0	0	1.0
1458514323292	128	0	971	967	81.5	20.5	0	170.0	90.0	6.333335	0.0	0	1.0	0	0	0	0	2.0
1458514323311	147	0	972	968	92.5	20.5	0	190.5	110.5	6.708335	28.75855	0	1.0	0	0	0	0	1.822145
1458514323330	166	0	973	969	94.0	20.0	0	210.5	130.5	6.775	64.3374	0	1.0	0	0	0	0	1.536885
1458514323350	186	0	974	970	93.5	19.0	0	230.0	150.0	6.733335	76.93165	0	1.0	0	0	0	0	1.37858
1458514323370	206	0	975	971	92.5	19.5	0	250.0	170.0	6.61905	87.03245	0	1.0	0	0	0	0	1.28493
1458514323392	228	0	976	972	92.5	20.0	0	270.5	190.5	6.535715	94.22895	0	1.0	0	0	0	0	1.20616
1458514323412	248	0	977	973	91.5	21.0	0	290.5	210.5	6.63889	98.49195	0	1.0	0	0	0	0	1.28851
1458514323430	266	0	978	974	91.5	21.0	0	310.0	230.0	6.78889	99.95915	0	1.0	0	0	0	0	1.367685
1458514323451	287	0	979	975	92.5	19.0	0	330.0	250.0	6.80909	99.87615	0	1.0	0	0	0	0	1.295195
1458514323471	307	0	980	976	92.0	19.5	0	350.0	270.0	6.825755	99.61295	0	1.0	0	0	0	0	1.23316
1458514323490	326	0	981	977	92.5	20.5	0	370.5	290.5	6.80128	99.51135	0	1.0	0	0	0	0	1.191195
1458514323510	346	0	982	978	91.5	19.5	0	390.5	310.5	6.77747	99.44205	0	1.0	0	0	0	0	1.15577
1458514323530	366	0	983	979	90.0	19.5	0	410.0	330.0	6.792855	99.26915	0	1.0	0	0	0	0	1.1137
1458514323550	386	0	984	980	91.0	20.0	0	430.0	350.0	6.775	99.11445	0	1.0	0	0	0	0	1.085285
1458514323569	405	0	985	981	91.5	19.5	0	450.0	370.0	6.757355	98.89445	0	1.0	0	0	0	0	1.06058
1458514323579	415	0	986	981	91.0	19.5	0	460.0	382.5	6.743465	98.55385	0	1.0	0	0	0	0.320825	1.037245
1458514323589	425	0	986	982	91.0	20.0	0	460.0	320.0	6.72222	98.3774	0	1.0	0	0	0	0.272406666667	1.03007
1458514323609	445	0	987	983	91.5	20.0	0	419.5	299.25	6.6769	98.234915	0	1.0	0	0	0	0.251555	1.05515
1458514323628	464	0	988	984	92.0	20.0	0	379.5	299.75	6.59079	97.930145	0	1.0	0	0	0	0.25056	1.098145
1458514323649	485	0	989	985	92.0	19.5	0	380.0	300.0	6.513095	97.78236	0	1.0	0	0	0	0.251035	1.12887
1458514323669	505	0	990	986	92.0	20.0	0	380.0	300.0	6.46537	97.85043	0	1.0	0	0	0	0.25105	1.13034
1458514323679	515	0	991	986	89.0	20.5	0	379.5	299.333333333	6.444665	97.454715	0	1.0	0	0	0	0.25103	1.10828
1458514323689	525	0	991	987	90.0	19.5	0	379.0	299.5	6.384055	97.05193	0	1.0	0	0	0	0.251505	1.1425
1458514323709	545	0	992	988	94.0	19.0	0	379.5	300.0	6.33333	97.09843	0	1.0	0	0	0	0.25177	1.18744
1458514323729	565	0	993	989	93.5	20.0	0	380.0	300.0	6.326665	97.28493	0	1.0	0	0	0	0.251305	1.17593
1458514323748	584	0	994	990	93.5	20.5	0	380.0	300.0	6.294615	97.599215	0	1.0	0	0	0	0.251045	1.16773
1458514323759	595	0	995	990	93.5	19.5	0	380.0	300.0	6.245725	97.805285	0	1.0	0	0	0	0.25104	1.173005
1458514323769	605	0	995	991	93.0	19.0	0	380.0	300.0	6.22222	97.88357	0	1.0	0	0	0	0.251715	1.17497
1458514323779	615	0	996	991	94.0	20.0	0	380.0	300.0	6.18254	98.027855	0	1.0	0	0	0	0.25239	1.20237
1458514323789	625	0	996	992	95.0	21.0	0	380.0	300.0	6.14286	98.17214	0	1.0	0	0	0	0.2525	1.22977
1458514323810	646	0	997	993	95.0	20.5	0	380.0	300.0	6.123155	98.285215	0	1.0	0	0	0	0.252015	1.22827
1458514323832	668	0	998	994	94.0	20.5	0	380.0	300.0	6.11839	98.990575	0	1.0	0	0	0	0.25115	1.22182
1458514323851	687	0	999	995	93.0	21.5	0	380.0	300.0	6.17957	99.853075	0	1.0	0	0	0	0.25071	1.26138
1458514323871	707	0	1000	996	93.5	20.5	0	380.0	300.0	6.237905	100.282215	0	1.0	0	0	0	0.25107	1.299025
1458514323890	726	0	1001	997	94.0	19.5	0	380.0	300.0	6.261365	100.56964	0	1.0	0	0	0	0.25161	1.28543
1458514323910	746	0	1002	998	94.0	19.5	0	380.0	300.0	6.26872	100.797425	0	1.0	0	0	0	0.251585	1.269385
1458514323932	768	0	1003	999	93.5	19.5	0	380.0	300.0	6.260925	100.843785	0	1.0	0	0	0	0.2512	1.25115
1458514323951	787	0	1004	1000	91.0	21.0	0	380.0	300.0	6.295235	100.707	0	1.0	0	0	0	0.250825	1.275715
1458514323971	807	0	1005	1001	90.5	20.5	0	380.0	300.0	6.34234	100.5285	0	1.0	0	0	0	0.25066	1.30243
1458514323991	827	0	1006	1002	91.5	19.5	0	380.0	300.0	6.359885	100.171785	0	1.0	0	0	0	0.251075	1.289065
1458514324012	848	0	1007	1003	91.5	20.0	0	380.0	300.0	6.37652	99.75664	0	1.0	0	0	0	0.251615	1.27605
1458514324030	866	0	1008	1004	92.5	20.5	0	380.5	300.75	6.39231	99.54593	0	1.0	0	0	0	0.25096	1.26337
1458514324049	885	0	1009	1005	91.5	19.5	0	380.5	300.25	6.407315	99.2755	0	1.0	0	0	0	0.250405	1.251015
1458514324070	906	0	1010	1006	91.0	18.5	0	380.0	300.0	6.39779	98.96221	0	1.0	0	0	0	0.25094	1.247125
1458514324090	926	0	1011	1007	92.0	20.0	0	380.0	300.0	6.37652	98.818	0	1.0	0	0	0	0.251975	1.24255
1458514324110	946	0	1012	1008	92.0	20.5	0	380.0	300.0	6.367865	98.715145	0	1.0	0	0	0	0.251765	1.2292
1458514324130	966	0	1013	1009	91.5	20.0	0	380.5	300.75	6.3596	98.56157	0	1.0	0	0	0	0.251155	1.216265
1458514324149	985	0	1014	1010	92.0	19.5	0	380.5	300.25	6.340825	98.405855	0	1.0	0	0	0	0.25107	1.211615
1458514324168	1004	0	1015	1011	93.0	19.0	0	380.0	300.0	6.31198	98.194	0	1.0	0	0	0	0.250795	1.21461
1458514324178	1014	0	1016	1011	92.5	19.0	0	380.0	300.0	6.28435	98.04993	0	1.0	0	0	0	0.25079	1.21679
1458514324189	1025	0	1016	1012	92.0	19.0	0	380.0	300.0	6.27083	98.05643	0	1.0	0	0	0	0.250865	1.21769
1458514324208	1044	0	1017	1013	93.0	20.0	0	380.5	300.75	6.24766	98.12943	0	1.0	0	0	0	0.25053	1.233205
1458514324218	1054	0	1018	1013	93.5	20.0	0	380.5	300.333333333	6.202245	98.16493	0	1.0	0	0	0	0.25012	1.26242
1458514324228	1064	0	1018	1014	93.0	19.0	0	380.0	300.0	6.18	98.12743	0	1.0	0	0	0	0.250865	1.27612
1458514324249	1085	0	1019	1015	93.0	19.5	0	380.0	300.0	6.158625	98.090645	0	1.0	0	0	0	0.25132	1.288245
