unix_ts_ms	rts_ms	run	int_seq	relative_int_seq	data_seq	relative_data_seq	Dgen_ms	Darr_ms	buf_tar_ms	buf_est_ms	buf_play_ms	rtt_prime_ms	lambda_d	lambda	rtx_total	recovered_total	rescued_total	lat_est_sec
1458517064614	0	0	0	0	723	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
1458517064640	0	0	724	1	723	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0
1458517064641	1	0	724	1	724	1	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0
1458517064642	2	0	724	1	724	1	55.0	0.0	0	63.0	0.0	1.13	5.0	0	0	0	0	0
1458517064643	3	0	729	6	724	1	55.0	0.0	0	84.0	0.0	1.13	5.0	0	0	0	0	0
1458517064644	4	0	729	6	726	3	55.0	2.0	0	104.0	20.0	1.826	5.0	0	0	0	0	0
1458517064646	6	0	731	8	727	4	53.0	1.0	0	124.0	40.0	2.269	5.0	0	0	0	0	0
1458517064666	26	0	732	9	728	5	24.0	2.0	0	144.0	60.0	4.564	5.0	0	0	0	0	0
1458517064667	27	0	733	10	728	5	44.0	20.0	0	160.0	80.0	24.35	5.0	0	0	0	0	0
1458517064686	46	0	733	10	729	6	44.0	20.0	0	160.0	80.0	24.35	5.0	0	0	0	0	0
1458517064687	47	0	734	11	729	6	55.0	20.0	0	180.0	100.0	44.032	5.0	0	0	0	0	0
1458517064706	66	0	734	11	730	7	55.0	20.0	0	180.0	100.0	44.032	5.0	0	0	0	0	0
1458517064707	67	0	735	12	730	7	57.0	20.0	0	200.0	120.0	63.049	5.0	0	0	0	0	0
1458517064726	86	0	735	12	731	8	57.0	20.0	0	200.0	120.0	63.049	5.0	0	0	0	0	0
1458517064727	87	0	736	13	731	8	77.0	20.0	0	220.0	140.0	82.094	5.0	0	0	0	0	0
1458517064746	106	0	736	13	732	9	77.0	20.0	0	220.0	140.0	82.094	5.0	0	0	0	0	0
1458517064747	107	0	737	14	732	9	96.0	20.0	0	240.0	160.0	99.773	5.0	0	0	0	0	0
1458517064766	126	0	737	14	733	10	96.0	20.0	0	240.0	160.0	99.773	5.0	0	0	0	0	0
1458517064767	127	0	737	14	733	10	96.0	20.0	0	240.0	180.0	99.773	5.0	0	0	0	0	0
1458517064786	146	0	738	15	734	11	96.0	21.0	0	260.0	180.0	100.07	5.0	0	0	0	0	0
1458517064787	147	0	739	16	734	11	96.0	19.0	0	280.0	200.0	99.81	5.0	0	0	0	0	0
