unix_ts_ms	rts_ms	run	int_seq	relative_int_seq	data_seq	relative_data_seq	Dgen_ms	Darr_ms	buf_tar_ms	buf_est_ms	buf_play_ms	rtt_prime_ms	lambda_d	lambda	rtx_total	recovered_total	rescued_total	lat_est_sec
1458579108598	0	0	0	0	1347	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
1458579108701	103	0	1348	1	1348	1	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0
1458579108702	104	0	1348	1	1348	1	114.0	0.0	0	40.0	0.0	103.154	3.0	0	0	0	0	0
1458579108803	205	0	1351	4	1349	2	114.0	0.0	0	80.0	0.0	103.154	3.0	0	0	0	0	0
1458579108804	206	0	1351	4	1350	3	115.0	102.0	0	120.0	40.0	101.742	3.0	0	0	0	0	0
1458579108805	207	0	1353	6	1351	4	115.0	1.0	0	160.0	80.0	102.177	3.0	0	0	0	0	0
1458579108905	307	0	1354	7	1352	5	115.0	1.0	0	200.0	120.0	102.613	3.0	0	0	0	0	0
1458579108906	308	0	1355	8	1352	5	114.0	100.0	0	240.0	160.0	101.615	3.0	0	0	0	0	0
1458579108909	311	0	1355	8	1353	6	114.0	100.0	0	240.0	160.0	101.615	3.0	0	0	0	0	0
1458579108910	312	0	1355	8	1354	7	114.0	4.0	0	280.0	240.0	104.55	3.0	0	0	0	0	0
1458579109007	409	0	1357	10	1355	8	115.0	1.0	0	320.0	240.0	104.71	3.0	0	0	0	0	0
1458579109008	410	0	1357	10	1355	8	114.0	1.0	0	320.0	280.0	104.71	3.0	0	0	0	0	0
1458579109012	414	0	1358	11	1356	9	114.0	97.0	0	360.0	280.0	101.735	3.0	0	0	0	0	0
1458579109013	415	0	1358	11	1357	10	114.0	4.0	0	400.0	320.0	102.669	3.0	0	0	0	0	0
1458579109110	512	0	1360	13	1358	11	114.0	1.0	0	440.0	360.0	102.709	3.0	0	0	0	0	0
1458579109114	516	0	1361	14	1359	12	115.0	97.0	0	482.0	400.0	101.676	3.0	0	0	0	0	0
1458579109115	517	0	1361	14	1360	13	115.0	4.0	0	522.0	440.0	101.755	3.0	0	0	0	0	0
1458579109116	518	0	1362	15	1360	13	113.0	1.0	0	562.0	480.0	101.973	3.0	0	0	0	0	0
1458579109211	613	0	1363	16	1361	14	113.0	1.0	0	562.0	480.0	101.973	3.0	0	0	0	0	0
1458579109212	614	0	1363	16	1361	14	113.0	1.0	0	562.0	520.0	101.973	3.0	0	0	0	0	0
1458579109217	619	0	1364	17	1362	15	114.0	97.0	0	602.0	520.0	101.559	3.0	0	0	0	0	0
1458579109228	630	0	1365	18	1363	16	113.0	5.0	0	642.0	560.0	102.404	3.0	0	0	0	0	0
1458579109229	631	0	1366	19	1363	16	113.0	11.0	0	682.0	600.0	112.395	3.0	0	0	0	0	0
1458579109313	715	0	1366	19	1364	17	113.0	11.0	0	682.0	600.0	112.395	3.0	0	0	0	0	0
1458579109314	716	0	1366	19	1364	17	113.0	11.0	0	682.0	640.0	112.395	3.0	0	0	0	0	0
1458579109319	721	0	1367	20	1365	18	114.0	85.0	0	722.0	640.0	101.446	3.0	0	0	0	0	0
1458579109320	722	0	1368	21	1365	18	113.0	5.0	0	760.0	680.0	101.805	3.0	0	0	0	0	0
1458579109347	749	0	1368	21	1366	19	113.0	5.0	0	760.0	680.0	101.805	3.0	0	0	0	0	0
1458579109414	816	0	1369	22	1367	20	114.0	28.0	0	799.0	719.0	118.309	3.0	0	0	0	0	0
1458579109415	817	0	1369	22	1367	20	114.0	28.0	0	799.0	760.0	118.309	3.0	0	0	0	0	0
1458579109416	818	0	1370	23	1367	20	115.0	68.0	0	840.0	760.0	100.71	3.0	0	0	0	0	0
1458579109427	829	0	1370	23	1368	21	115.0	68.0	0	840.0	760.0	100.71	3.0	0	0	0	0	0
1458579109462	864	0	1370	23	1368	21	115.0	12.0	0	840.0	800.0	107.068	3.0	0	0	0	0	0.88758
1458579109463	865	0	1370	23	1368	21	115.0	12.0	0	840.0	760.0	107.068	3.0	0	0	0	0	0.88758
1458579109464	866	0	1371	24	1368	21	115.0	12.0	0	840.0	760.0	107.068	3.0	0	0	0	0	0.84881
1458579109465	867	0	1371	24	1368	21	115.0	12.0	0	840.0	680.0	107.068	3.0	0	0	0	0	0.80932
1458579109466	868	0	1371	24	1368	21	115.0	12.0	0	840.0	600.0	107.068	3.0	0	0	0	0	0.73054
1458579109467	869	0	1371	24	1369	22	116.0	39.0	0	680.0	600.0	118.845	3.0	0	0	0	0	0.65229
1458579109468	870	0	1372	25	1369	22	116.0	39.0	0	680.0	520.0	118.845	3.0	0	0	0	0	0.61273
1458579109469	871	0	1372	25	1369	22	116.0	39.0	0	680.0	440.0	118.845	3.0	0	0	0	0	0.5332
1458579109484	886	0	1372	25	1369	22	116.0	39.0	0	680.0	320.0	118.845	3.0	0	0	0	0	0.41441
1458579109516	918	0	1372	25	1370	23	116.0	39.0	0	680.0	320.0	118.845	3.0	0	0	0	0	0.38964
1458579109517	919	0	1372	25	1370	23	115.0	39.0	0	680.0	320.0	118.845	3.0	0	0	0	0	0.38964
1458579109523	925	0	1373	26	1370	23	115.0	51.0	0	400.0	320.0	101.224	3.0	0	0	0	0	0.38791
1458579109564	966	0	1373	26	1370	23	115.0	51.0	0	400.0	280.0	101.224	3.0	0	0	0	0	0.38791
1458579109565	967	0	1373	26	1371	24	115.0	51.0	0	400.0	280.0	101.224	3.0	0	0	0	0	0.38936
1458579109586	988	0	1374	27	1372	25	115.0	48.0	0	360.0	280.0	101.767	3.0	0	0	0	0	0.38936
1458579109587	989	0	1374	27	1372	25	116.0	21.0	0	400.0	320.0	119.689	3.0	0	0	0	0	0.38936
1458579109604	1006	0	1375	28	1372	25	116.0	21.0	0	400.0	320.0	119.689	3.0	0	0	0	0	0.38977
1458579109627	1029	0	1375	28	1373	26	116.0	21.0	0	400.0	320.0	119.689	3.0	0	0	0	0	0.38977
1458579109628	1030	0	1376	29	1373	26	116.0	41.0	0	400.0	320.0	109.989	3.0	0	0	0	0	0.38977
