unix_ts_ms	rts_ms	run	int_seq	relative_int_seq	data_seq	relative_data_seq	Dgen_ms	Darr_ms	buf_tar_ms	buf_est_ms	buf_play_ms	rtt_est_ms	rtt_prime_ms	lambda_d	lambda	rtx_total	recovered_total	rescued_total	lat_est_sec
1458579673348	0	0	0	0	15465	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
1458579673349	1	0	15466	1	15465	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0
1458579673371	23	0	15466	1	15466	1	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0
1458579673372	24	0	15466	1	15466	1	153.0	0.0	0	40.0	0.0	0	22.81	3.0	0	0	0	0	0
1458579673373	25	0	15469	4	15466	1	153.0	0.0	0	80.0	0.0	0	22.81	3.0	0	0	0	0	0
1458579673411	63	0	15469	4	15467	2	153.0	0.0	0	80.0	0.0	0	22.81	3.0	0	0	0	0	0
1458579673412	64	0	15469	4	15467	2	153.0	0.0	0	80.0	41.0	0	22.81	3.0	0	0	0	0	0
1458579673451	103	0	15470	5	15468	3	153.0	40.0	0	121.0	41.0	0	39.802	3.0	0	0	0	0	0
1458579673452	104	0	15470	5	15468	3	153.0	40.0	0	121.0	81.0	0	39.802	3.0	0	0	0	0	0
1458579673492	144	0	15471	6	15469	4	153.0	41.0	0	161.0	81.0	0	79.683	3.0	0	0	0	0	0
1458579673493	145	0	15471	6	15469	4	154.0	40.0	0	161.0	121.0	0	120.218	3.0	0	0	0	0	0
1458579673532	184	0	15472	7	15470	5	154.0	40.0	0	201.0	121.0	0	120.218	3.0	0	0	0	0	0
1458579673533	185	0	15473	8	15470	5	154.0	40.0	0	241.0	161.0	0	120.212	3.0	0	0	0	0	0
1458579673572	224	0	15473	8	15471	6	154.0	40.0	0	241.0	161.0	0	120.212	3.0	0	0	0	0	0
1458579673612	264	0	15474	9	15472	7	154.0	40.0	0	283.0	201.0	0	119.983	3.0	0	0	0	0	0
1458579673613	265	0	15475	10	15472	7	153.0	40.0	0	323.0	241.0	0	119.351	3.0	0	0	0	0	0
1458579673652	304	0	15475	10	15473	8	153.0	40.0	0	323.0	241.0	0	119.351	3.0	0	0	0	0	0
1458579673653	305	0	15476	11	15473	8	153.0	40.0	0	363.0	281.0	0	119.733	3.0	0	0	0	0	0
1458579673692	344	0	15476	11	15474	9	153.0	40.0	0	363.0	281.0	0	119.733	3.0	0	0	0	0	0
1458579673693	345	0	15476	11	15474	9	153.0	40.0	0	363.0	321.0	0	119.733	3.0	0	0	0	0	0
1458579673732	384	0	15477	12	15475	10	153.0	40.0	0	403.0	321.0	0	120.198	3.0	0	0	0	0	0
1458579673733	385	0	15477	12	15475	10	153.0	40.0	0	443.0	361.0	0	119.867	3.0	0	0	0	0	0
1458579673771	423	0	15478	13	15476	11	153.0	40.0	0	443.0	361.0	0	119.867	3.0	0	0	0	0	0
1458579673772	424	0	15478	13	15476	11	153.0	40.0	0	443.0	401.0	0	119.867	3.0	0	0	0	0	0
1458579673812	464	0	15479	14	15477	12	153.0	40.0	0	483.0	401.0	0	118.988	3.0	0	0	0	0	0
1458579673813	465	0	15479	14	15477	12	154.0	40.0	0	523.0	441.0	0	119.27	3.0	0	0	0	0	0
1458579673851	503	0	15480	15	15478	13	154.0	40.0	0	523.0	441.0	0	119.27	3.0	0	0	0	0	0
1458579673852	504	0	15480	15	15478	13	154.0	40.0	0	523.0	481.0	0	119.27	3.0	0	0	0	0	0
1458579673853	505	0	15481	16	15478	13	153.0	40.0	0	561.0	481.0	0	118.934	3.0	0	0	0	0	0
1458579673891	543	0	15481	16	15479	14	153.0	40.0	0	561.0	481.0	0	118.934	3.0	0	0	0	0	0
1458579673892	544	0	15482	17	15479	14	154.0	39.0	0	601.0	521.0	0	119.061	3.0	0	0	0	0	0
1458579673932	584	0	15482	17	15480	15	154.0	39.0	0	601.0	521.0	0	119.061	3.0	0	0	0	0	0
1458579673933	585	0	15482	17	15480	15	154.0	41.0	0	641.0	561.0	0	119.266	3.0	0	0	0	0	0
1458579673971	623	0	15483	18	15481	16	154.0	41.0	0	641.0	561.0	0	119.266	3.0	0	0	0	0	0
1458579673972	624	0	15483	18	15481	16	154.0	41.0	0	641.0	601.0	0	119.266	3.0	0	0	0	0	0
1458579673973	625	0	15484	19	15481	16	152.0	40.0	0	681.0	601.0	0	119.256	3.0	0	0	0	0	0
1458579674011	663	0	15484	19	15482	17	152.0	40.0	0	681.0	601.0	0	119.256	3.0	0	0	0	0	0
1458579674013	665	0	15485	20	15482	17	154.0	39.0	0	721.0	641.0	0	119.192	3.0	0	0	0	0	0
1458579674051	703	0	15485	20	15483	18	154.0	39.0	0	721.0	641.0	0	119.192	3.0	0	0	0	0	0
1458579674052	704	0	15485	20	15483	18	153.0	40.0	0	721.0	681.0	0	118.318	3.0	0	0	0	0	0
1458579674092	744	0	15486	21	15484	19	153.0	40.0	0	761.0	681.0	0	118.318	3.0	0	0	0	0	0
1458579674093	745	0	15487	22	15484	19	153.0	41.0	0	801.0	721.0	0	119.432	3.0	0	0	0	0	0
1458579674132	784	0	15487	22	15485	20	153.0	41.0	0	801.0	721.0	0	119.432	3.0	0	0	0	0	0
1458579674133	785	0	15488	23	15485	20	154.0	40.0	0	841.0	761.0	0	119.598	3.0	0	0	0	0	0
1458579674172	824	0	15488	23	15486	21	154.0	40.0	0	841.0	761.0	0	119.598	3.0	0	0	0	0	0
1458579674177	829	0	15488	23	15486	21	153.0	40.0	0	841.0	801.0	0	120.031	3.0	0	0	0	0	0.69426
