ts	rts	run	int	data	Dgen	Darr	buf tar	buf est	buf play	rtt est	rtt prime	lambda d	lambda	rtx	recover	resc	lat est	rtt var
1458512705107	19	0	155	155	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0
1458512705126	38	0	158	156	7.0	0.0	0	15.0	0.0	11.0	0.0	0	3.0	0	0	0	0	0.0
1458512705146	58	0	159	157	7.5	9.0	0	50.0	10.0	10.75	0.0	0	2.0	0	0	0	0	0.5
1458512705168	80	0	160	158	17.0	19.0	0	70.0	30.0	10.75	0.0	0	1.0	0	0	0	0	1.137375
1458512705187	99	0	161	159	35.0	21.0	0	90.0	50.0	11.5	0.0	0	1.0	0	0	0	0	1.90393
1458512705207	119	0	162	160	47.0	20.5	0	110.0	70.0	11.9	0.0	0	1.0	0	0	0	0	2.391555
1458512705228	140	0	163	161	50.5	19.5	0	130.5	90.5	11.56665	0.0	0	1.0	0	0	0	0	2.310115
1458512705246	158	0	164	162	48.0	20.5	0	150.5	110.5	11.5238	22.61745	0	1.0	0	0	0	0	2.396195
1458512705267	179	0	165	163	46.0	19.5	0	170.0	130.0	11.66965	48.0754	0	1.0	0	0	0	0	2.34042
1458512705291	203	0	166	164	48.0	19.5	0	190.0	150.0	11.5347	53.85925	0	1.0	0	0	0	0	2.2241
1458512705307	219	0	167	165	48.0	22.5	0	210.0	170.0	11.6222	58.5421	0	1.0	0	0	0	0	2.284925
1458512705327	239	0	168	166	48.0	20.5	0	230.0	190.0	11.76365	60.33675	0	1.0	0	0	0	0	2.32632
1458512705346	258	0	169	167	49.0	18.0	0	250.5	210.5	11.6553	60.2938	0	1.0	0	0	0	0	2.250295
1458512705366	278	0	170	168	46.5	19.5	0	271.0	231.0	11.5224	59.76715	0	1.0	0	0	0	0	2.205055
1458512705386	298	0	171	169	46.0	20.0	0	290.5	250.5	11.4093	59.22685	0	1.0	0	0	0	0	2.158445
1458512705405	317	0	172	170	48.0	19.5	0	310.0	270.0	11.3119	59.103	0	1.0	0	0	0	0	2.112095
1458512705431	343	0	173	171	48.5	19.5	0	330.0	290.0	11.19585	59.0145	0	1.0	0	0	0	0	2.09528
1458512705446	358	0	174	172	49.5	22.5	0	350.5	310.5	11.20955	59.0575	0	1.0	0	0	0	0	2.129675
1458512705470	382	0	175	173	50.5	20.0	0	371.0	331.0	11.2026	59.1009	0	1.0	0	0	0	0	2.19934
